title,date,description,url
"Trump told Israel not to kill Iran's supreme leader, says report ","Mon, 16 Jun 2025 00:27:42 GMT","Trump told Israeli Prime Minister Benjamin Netanyahu that assassinating Khamenei was not a good idea, according to CBS. ",https://www.bbc.com/news/articles/ckg7gl4zegyo
Watch: Explosions and damage across Israel as Iran launches fresh air strikes,"Mon, 16 Jun 2025 06:15:38 GMT","Five people have been killed and dozens injured, according to Israel's national emergency service. ",https://www.bbc.com/news/videos/cre9e4y2n17o
'Nowhere feels safe': Iranians on life under Israeli attacks,"Sun, 15 Jun 2025 20:57:31 GMT",Some of those in Iran who have spoken to the BBC use one word to describe life in there right now.,https://www.bbc.com/news/articles/c8xgxdr01wro
Satellite imagery reveals damage to key Iran nuclear sites,"Sun, 15 Jun 2025 07:43:02 GMT",Imagery from two different providers shows damage to Iranian nuclear facilities. ,https://www.bbc.com/news/articles/c7808xvv737o
Man suspected of shooting Minnesota lawmakers arrested after huge manhunt,"Mon, 16 Jun 2025 07:00:01 GMT","Vance Luther Boelter is accused of killing Democrat Melissa Hortman and her husband Mark, and injuring two others.  ",https://www.bbc.com/news/articles/cg5v5l4eylyo
‘I broke my jaw in half’: Accidents raise questions about funfair safety,"Mon, 16 Jun 2025 05:03:05 GMT","Hundreds injured by funfair rides over the past decade, a Panorama investigation has found.",https://www.bbc.com/news/articles/cg5vjn604qqo
'Forever chemical' scientists fear may affect reproduction found in 31 UK rivers,"Sun, 15 Jun 2025 23:33:52 GMT",The long-term impact of the chemical on human health is still unclear and being researched.,https://www.bbc.com/news/articles/cm2yjxxvx08o
MI6 appoints first female chief in 116-year history ,"Mon, 16 Jun 2025 01:44:31 GMT",Blaise Metreweli joined the Secret Intelligence Service (MI6) in 1999 and will become its 18th chief.,https://www.bbc.com/news/articles/czxyx04dv1wo
G7 summit is a big moment for Canada's PM Carney. Here are five things to watch,"Mon, 16 Jun 2025 01:38:53 GMT",The gathering of leaders in Alberta will be a big test for Canada's new leader. We break down his challenges.,https://www.bbc.com/news/articles/clyg07jj17eo
Chris Brown returns to Manchester for first show in city since arrest,"Sun, 15 Jun 2025 22:59:14 GMT",The US singer is on £5m bail after being charged over an alleged assualt in a nightclub in 2023.,https://www.bbc.com/news/articles/czdydj938mvo
"Your next Traitors fix, and Yungblud's new album: What's coming up this week","Sun, 15 Jun 2025 17:13:07 GMT","28 Years Later is also released, Date Everything is here, and Benson Boone has a new album out.",https://www.bbc.com/news/articles/cwy7q4005v2o
