Country,Article_Count
Unknown,155
India,46
United Kingdom,35
France,31
United States,26
Australia,26
Japan,20
Mexico,10
Canada,9
"Palestine, State of",5
Uganda,5
Saint Kitts and Nevis,4
China,4
"Virgin Islands, U.S.",4
Syrian Arab Republic,3
Türkiye,3
Spain,2
Ukraine,2
Israel,2
"Korea, Republic of",2
Jersey,1
American Samoa,1
South Africa,1
Belgium,1
Russian Federation,1
Bahamas,1
Nigeria,1
Brazil,1
Sudan,1
Thailand,1
Azerbaijan,1
Georgia,1
Belarus,1
Congo,1
"Iran, Islamic Republic of",1
Bangladesh,1
