id,title,description,date,url,source,country,category
1,Heathrow shutdown caused by problem found seven years ago,An investigation has been launched by the energy regulator into National Grid after finding issues at a substation were not fixed.,2025-07-02,https://www.bbc.com/news/articles/cly22eelnxjo,BBC,United Kingdom,Health
2,Prosecutors consider further charges against Letby,"The Crown Prosecution Service is considering a ""full file"" of evidence submitted by Cheshire Police.",2025-07-02,https://www.bbc.com/news/articles/c5yl273mlryo,BBC,United Kingdom,General
3,Chief exec of miscarriage of justice body quits after criticism,The CCRC has come under intense criticism since Andrew Malkinson's wrongful conviction was overturned.,2025-07-02,https://www.bbc.com/news/articles/czxeynd21x9o,BBC,United Kingdom,General
4,At least 180 aircrew pursuing Ministry of Defence after cancer diagnoses,"Zach Stubbings, who died in January, is one of at least six who have received a settlement from MoD.",2025-07-02,https://www.bbc.com/news/articles/cew00x9jq1do,BBC,United Kingdom,General
5,Government wins vote on watered-down welfare bill after concessions,MPs approved the Universal Credit and Personal Independence Payment Bill but only after ministers made big changes.,2025-07-02,https://www.bbc.com/news/articles/cly8877x3z2o,BBC,United Kingdom,Politics
6,"Murderer, 92, to be investigated over cold cases","Ryland Headley, who has been convicted of a decades-old murder, is to be investigated over unsolved offences.",2025-07-02,https://www.bbc.com/news/articles/c9399vn4e6xo,BBC,United Kingdom,General
7,Man appears in court charged with murder of pregnant mother,"Zak Hughes, 28, from Ardglen Place in north Belfast, is also charged with child destruction.",2025-07-02,https://www.bbc.com/news/articles/c93k9l8yw42o,BBC,United Kingdom,General
8,Peter Murrell granted legal aid over embezzlement charge,The husband of former first minister Nicola Sturgeon was charged in a police investigation into SNP finances.,2025-07-02,https://www.bbc.com/news/articles/cq8z7y0xj0xo,BBC,United Kingdom,Politics
9,TSB name could disappear from UK in Santander deal,The bank is set to be integrated into Santander UK which has said there could be job cuts.,2025-07-02,https://www.bbc.com/news/articles/cdjxxvg3vpeo,BBC,United Kingdom,General
10,Woman abused by mum wants sentence guidance review,"Caroline Eshghi, 57, was beaten, burned and starved as a child by her mother during the 1970s and 80s.",2025-07-02,https://www.bbc.com/news/articles/c0q8zzx2vkzo,BBC,United Kingdom,Health
11,"Family pay tribute to girl, 7, killed by falling tree","Leonna Ruka died after being injured in a Southend park and her family calls her ""a light in our lives"".",2025-07-01,https://www.bbc.com/news/articles/c0k77m8r8n2o,BBC,United Kingdom,General
12,Parking fines soar in Skye tourist site crackdown,Highland Council says penalty notices for parking violations have increased significantly over last five years.,2025-07-02,https://www.bbc.com/news/articles/c939qg6w26ko,BBC,United Kingdom,General
13,Vulnerable patients told secure ward to close within weeks,A secure hospital ward for people with complex learning disabilities was found to fall short of standards.,2025-07-02,https://www.bbc.com/news/articles/c20ww3rq61zo,BBC,United Kingdom,General
14,Train named after Lioness ahead of Euro 2025,"England defender Jess Carter has her name printed on a new West Midlands Railways train, ahead of Women's Euro 2025",2025-07-02,https://www.bbc.com/news/articles/c98jj20000jo,BBC,United Kingdom,Sports
15,Watch: New dinosaur species added to museum's collection,A dinosaur roughly the size of a labrador has been reclassified as a new species and gone on display.,2025-06-29,https://www.bbc.com/news/videos/c4ge88173j5o,BBC,United Kingdom,General
16,Benedict Cumberbatch went 'under the fence' at Glasto,Simon Pegg and Benedict Cumberbatch have been sharing their early memories of Glastonbury Festival.,2025-06-28,https://www.bbc.com/news/videos/cwyxqy1jz9lo,BBC,United Kingdom,General
17,"Artist turns 3,000 bucket hats into giant Oasis mural","An artist says his hands are in pain after creating a portrait of the Gallagher brothers using 3,000 bucket hats.",2025-06-28,https://www.bbc.com/news/videos/crl0j803k5do,BBC,United Kingdom,Entertainment
18,Lambretta fans gather for the 34th Euro Jamboree,"More than 1,000 scooter riders from around the world descended on Ayr.",2025-06-29,https://www.bbc.com/news/videos/cjel79l8wpwo,BBC,United Kingdom,General
19,Banknotes are getting a makeover - and the Bank of England wants your help,The first facelift in more than 50 years signals the possible end of historical figures on notes.,2025-07-01,https://www.bbc.com/news/articles/cy4nn1d2vzxo,BBC,United Kingdom,General
20,Humiliation for Starmer as he loses control of Commons,The BBC's political editor Chris Mason and chief political correspondent Henry Zeffman on the welfare bill.,2025-07-02,https://www.bbc.com/news/articles/czry6gv80mjo,BBC,United Kingdom,Politics
21,Don't call him Oliver - the British qualifier aiming to stun Alcaraz,From off-the-radar teenager to US college star - British qualifier Oliver Tarvet is aiming to stun Carlos Alcaraz.,2025-07-02,https://www.bbc.com/sport/tennis/articles/cq533p4x7l2o,BBC,United Kingdom,General
22,Will there be a drought where I live?,"We take a look at river, reservoir and groundwater levels after a particularly dry few months.",2025-07-01,https://www.bbc.com/news/articles/crk661074ejo,BBC,United Kingdom,General
23,'Notable' rise in dads over 60 in England and Wales,Official figures show that the birth rate in England and Wales went up for the first time since 2021.,2025-07-01,https://www.bbc.com/news/articles/cd0vvr9j1dxo,BBC,United Kingdom,General
24,Prosecutors consider further charges against Lucy Letby,"The Crown Prosecution Service is considering a ""full file"" of evidence submitted by Cheshire Police.",2025-07-02,https://www.bbc.com/news/articles/c5yl273mlryo,BBC,United Kingdom,General
25,Police officer sentenced for domestic abuse of two women,"Police Scotland said the actions of PC Tariq Mahmood, 45, went against everything the service stood for.",2025-07-02,https://www.bbc.com/news/articles/c0j49gnp5j4o,BBC,United Kingdom,General
26,Trump says Israel has agreed to conditions for 60-day Gaza ceasefire,"A Hamas official told the BBC the group is ""ready and serious"" to reach an agreement if it ends the war.",2025-07-02,https://www.bbc.com/news/articles/cgkg4m0133po,BBC,Israel,International
27,Diddy jury to keep deliberating after reaching deadlock on most serious charge,The panel has reached a verdict on four of the five counts in the rap mogul's sex trafficking trial.,2025-07-02,https://www.bbc.com/news/articles/c20nn0p9xg2o,BBC,Unknown,International
28,'They took shrapnel from my heart' – the magnets saving lives in Ukraine,A magnetic extractor is changing the face of front-line medicine in Ukraine.,2025-07-01,https://www.bbc.com/news/articles/c1mgdendnv7o,BBC,Ukraine,International
29,"US halts some weapons shipments to Ukraine, White House says","US is concerned about low stockpiles for its own needs, as Russia intensifies the war in Ukraine.",2025-07-02,https://www.bbc.com/news/articles/cgk33k204ddo,BBC,United States,International
30,"Ugandan military helicopter crashes at Somalia airport, official says","Eight people were on board the helicopter, an aviation official says.",2025-07-02,https://www.bbc.com/news/articles/cwye0wggzzko,BBC,Somalia,International
31,Qantas data breach exposes up to six million customer profiles,"The airline was hit by a cyber attack on a platform storing names, email addresses and phone numbers.",2025-07-02,https://www.bbc.com/news/articles/cd6gnyl9923o,BBC,Unknown,International
32,Spain and England record hottest June as heatwave grips Europe,"Several European regions had their highest temperatures on the last day of June, as a heatwave continues into July.",2025-07-01,https://www.bbc.com/news/articles/c70rrlexnwzo,BBC,Spain,International
33,"US Senate Republicans narrowly pass Trump's 'big, beautiful'  bill","Vice-President JD Vance casts the tie-breaking vote after more than 24 hours of intense debate, sending the bill back to the House.",2025-07-01,https://www.bbc.com/news/articles/clyzzzdj15vo,BBC,United States,International
34,Jihadist fighters stage series of attacks on Mali military posts,Tuesday's attack marks the third major assault on army positions over the past month.,2025-07-02,https://www.bbc.com/news/articles/c4g88vwn1veo,BBC,Unknown,International
35,Danish women to face conscription by lottery,The 18 year olds will join males in a lottery that could require them undergo a period of service.,2025-07-01,https://www.bbc.com/news/articles/c1e0094n5d3o,BBC,Unknown,International
36,Trump tightens US policy on Cuba,President Trump says a statutory ban on tourism to Cuba will be enforced more strictly.,2025-07-01,https://www.bbc.com/news/articles/cx24468drd1o,BBC,United States,International
37,Father jumps off Disney cruise ship to save daughter who fell overboard,"Crew members were able to quickly rescue the pair, who were on the last day of a Disney cruise to the Bahamas.",2025-07-01,https://www.bbc.com/news/articles/c6288v6j4y0o,BBC,Bahamas,International
38,Thai prime minister suspended over leaked phone call,Paetongtarn Shinawatra has been suspended as the constitutional court considers a petition for her removal.,2025-07-01,https://www.bbc.com/news/articles/c9vrrj72xy7o,BBC,Unknown,International
39,Turkey arrests journalists over alleged cartoon of Prophet Muhammad,Clashes broke out outside the Istanbul office of the satirical magazine LeMan.,2025-07-01,https://www.bbc.com/news/articles/cvg11361q42o,BBC,Türkiye,International
40,Dozens of Ghanaians trafficked in football job scam rescued in Nigeria,"The victims, mostly young men, were lured with promises of football contracts or other jobs abroad.",2025-07-01,https://www.bbc.com/news/articles/cvg44pjyj3do,BBC,Nigeria,International
41,Hundreds of kids to be tested for disease after childcare rape charge,"An Australian man has been charged with 70 offences, which police allege relate to eight children.",2025-07-01,https://www.bbc.com/news/articles/cg4rr2g3072o,BBC,Unknown,International
42,Guilty plea expected in 2022 murders of four Idaho students,Relatives of one victim posted on Facebook that the state had failed them by allowing a plea deal.,2025-07-01,https://www.bbc.com/news/articles/c3r994xvj42o,BBC,United States,International
43,Trans troops in US military 'in survival mode' as ban on serving kicks in,Two transgender officers say they fear their military careers are over due to Trump’s ban on trans service members.,2025-06-30,https://www.bbc.com/news/articles/cvgwwv3k5wxo,BBC,United States,International
44,BBC investigation reveals hidden deaths at India festival crush,"The Uttar Pradesh government says 37 people were killed in the Kumbh Mela crush, but the BBC has verified at least 82 deaths.",2025-06-30,https://www.bbc.com/news/articles/cr5v2my4mz9o,BBC,India,International
45,"Israeli strike on Gaza seafront cafe kills at least 20 Palestinians, witnesses and rescuers say","The outdoor cafe was frequently used by journalists, activists and local residents.",2025-07-01,https://www.bbc.com/news/articles/c62884y1pl5o,BBC,"Palestine, State of",International
46,Idaho gunman in deadly ambush of fire crews had 'idolised' firefighters,The suspect deliberately lit a fire to lure first responders to a mountainous area near Coeur d'Alene.,2025-06-30,https://www.bbc.com/news/articles/c15wwvggk80o,BBC,United States,International
47,"I lost half my weight in jail, but I'm not broken, says freed Belarus opposition leader","Sergei Tikhanovsky was kept isolated in bare, tiny cells and tells the BBC that Belarus must free other political prisoners.",2025-06-30,https://www.bbc.com/news/articles/czey1y6x6zzo,BBC,Belarus,International
48,Jury retires in mushroom murder trial in Australia,They will decide whether Erin Patterson murdered relatives with beef Wellingtons laced with toxic mushrooms.,2025-06-30,https://www.bbc.com/news/articles/cn86y31vql5o,BBC,Australia,International
49,Nearly 12 million estimated to lose health coverage under Trump budget bill,"The spending plan could also add nearly $3.3tn (£2.4tn) in debt, according to non-partisan analysis.",2025-06-29,https://www.bbc.com/news/articles/cx2verel4nlo,BBC,Unknown,International
50,How 'blood gold' is fuelling conflict in West Africa,"Gold appears to be a lifeline for military juntas and jihadist groups in the Sahel region, analysts say.",2025-07-01,https://www.bbc.com/news/articles/c17ww8dv1rwo,BBC,Unknown,International
51,"Is the 'big, beautiful' India-US trade deal in trouble?","With days to go before 9 July, when the tariff pause ends, hopes persist but negotiations are tough.",2025-07-01,https://www.bbc.com/news/articles/c625504qp3go,BBC,India,International
52,Is RFK Jr's divisive plan to Make America Healthy Again fearmongering - or revolutionary?,The most powerful public health official in the US is reviled by some medics - but even some of his critics accept that he is bringing drive to healthcare areas that have long been neglected,2025-06-30,https://www.bbc.com/news/articles/ceq7jx3dlj9o,BBC,United States,International
53,'I lost a baby and then rescued a child dodging air strikes in Sudan's civil war',A 19-year-old tells the BBC how she miscarried as she fled attacks in the western Darfur region.,2025-07-01,https://www.bbc.com/news/articles/cvgee0q590qo,BBC,Sudan,International
