id,title,description,date,url,source,country,category
1,Palestine Action banned after judge denies temporary block,A High Court judge refused the group's request to temporarily block the government from proscribing it as a terror group.,2025-07-04,https://www.bbc.com/news/articles/c93901n9z0qo,BBC,United Kingdom,Politics
2,Oasis kick off their comeback: The best they've been since the 90s,"The band stage a triumphant show in Cardiff, as they launch their long-awaited reunion tour.",2025-07-04,https://www.bbc.com/news/articles/cn9y5z5nqe1o,BBC,United Kingdom,Technology
3,BBC on French beach as police slash migrant 'taxi-boat' heading to UK,"Watch video of French police destroying a boat in the English Channel in a rare and unusual intervention, which police have made clear is not a new tactic.",2025-07-04,https://www.bbc.com/news/articles/c5ygjjxjlplo,BBC,United Kingdom,General
4,Footballer Thomas Partey charged with rape,"The ex-Arsenal player is charged with five counts of rape relating to two women, and one count of sexual assault over a third woman.",2025-07-04,https://www.bbc.com/news/articles/c39zr7y9ep3o,BBC,United Kingdom,Sports
5,Is Corbyn's new party happening and could it damage Labour?,Backers say there is a wide-open space to Labour’s left - and millions of disillusioned voters to be won.,2025-07-04,https://www.bbc.com/news/articles/cedg56670qdo,BBC,United Kingdom,Politics
6,Ketamine helped me escape my negative thoughts - then it nearly killed me,Two young women speak to the BBC about why ketamine has become such a popular drug.,2025-07-04,https://www.bbc.com/news/articles/c70r1xdyy59o,BBC,United Kingdom,General
7,Pride in London returns as events struggle with falling funds,UK Pride organisers tell the BBC that less sponsorship funding and fewer volunteers are behind cancelled events.,2025-07-05,https://www.bbc.com/news/articles/c0q877y7g9eo,BBC,United Kingdom,General
8,Elephant kills British and New Zealand tourists in Zambia,"The two tourists were trampled to death by a female elephant that was with a calf, police say.",2025-07-04,https://www.bbc.com/news/articles/cp86jkdn838o,BBC,United Kingdom,General
9,Payout offered to Afghans hit by UK data breaches,"Afghans whose personal information was mistakenly exposed by the Ministry of Defence to get up to £4,000 each.",2025-07-04,https://www.bbc.com/news/articles/c1k8ww1wrwyo,BBC,United Kingdom,Health
10,"Pupils locked themselves in cupboard amid stabbing, court told","Pupils barricaded the cupboard door after Harvey Willgoose, 15, was fatally stabbed, a trial hears.",2025-07-04,https://www.bbc.com/news/articles/cpwq11k1qyyo,BBC,United Kingdom,Legal
11,Double funeral for gangland pair shot dead in Spain,Eddie Lyons Jnr and Ross Monaghan were gunned down in a bar in Fuengirola on the Costa del Sol on 31 May.,2025-07-04,https://www.bbc.com/news/articles/c307667mj04o,BBC,United Kingdom,Technology
12,Warnings for rain ahead of a possible third heatwave,"Weather warnings for rain may have been issued for this weekend, but there is potential for heat to build again next week",2025-07-04,https://www.bbc.com/weather/articles/ckgde440z59o,BBC,United Kingdom,Technology
13,"Meteor pieces may have landed on Ben Nevis, say experts",The small meteor lit up the night sky on Thursday and may have landed as meteorites across a vast area of the west Highlands.,2025-07-04,https://www.bbc.com/news/articles/cq8ze2vnz38o,BBC,United Kingdom,General
14,Home Office 'not checking' when foreign worker visas expire,"The cross-party committee says the government has failed to gather ""basic information"".",2025-07-04,https://www.bbc.com/news/articles/cwykw93d393o,BBC,United Kingdom,Politics
