Country,Article_Count
United States,98
India,51
Unknown,50
United Kingdom,44
France,32
Australia,27
Japan,20
Mexico,10
South Africa,8
Canada,7
China,6
Saint Kitts and Nevis,5
Uganda,5
"Palestine, State of",4
Ukraine,4
Spain,3
Israel,3
"Iran, Islamic Republic of",3
Brazil,3
Türkiye,2
"Korea, Republic of",2
Iran,2
Somalia,2
"Virgin Islands, U.S.",2
Egypt,2
Philippines,1
Singapore,1
American Samoa,1
Bahamas,1
Belarus,1
Bangladesh,1
Argentina,1
Sudan,1
Nigeria,1
Saudi Arabia,1
Jersey,1
Russia,1
South Korea,1
Pakistan,1
