Country,Article_Count
United States,254
Unknown,103
United Kingdom,98
Vietnam,60
India,54
France,48
Iran,47
Germany,39
Singapore,39
Argentina,36
Australia,31
Japan,26
South Africa,20
Israel,17
Ukraine,14
Mexico,13
Zimbabwe,12
China,11
Uganda,11
Brazil,11
Russian Federation,8
Spain,7
"Virgin Islands, U.S.",6
Switzerland,6
Ethiopia,5
Kenya,5
Thailand,5
Sweden,4
"Palestine, State of",4
Türkiye,3
Norway,3
Hong Kong,2
Italy,2
Syria,2
Fiji,2
Yemen,2
Pakistan,2
Morocco,2
Egypt,2
Canada,2
Ireland,1
Portugal,1
Netherlands,1
Tunisia,1
Chile,1
Sudan,1
Congo,1
Tanzania,1
South Sudan,1
Nigeria,1
Angola,1
Rwanda,1
Qatar,1
Zambia,1
Jordan,1
Belgium,1
Peru,1
Colombia,1
Russia,1
El Salvador,1
American Samoa,1
Burkina Faso,1
Afghanistan,1
Poland,1
Turkey,1
South Korea,1
Saint Kitts and Nevis,1
Azerbaijan,1
Slovakia,1
Laos,1
Trinidad and Tobago,1
Djibouti,1
Croatia,1
Denmark,1
Bosnia and Herzegovina,1
Greece,1
Malaysia,1
Eritrea,1
Cambodia,1
