id,title,description,date,url,source,country,category
1,"Welfare U-turn makes spending decisions harder, minister says","Bridget Phillipson does not commit to scrapping the two-child benefit cap, saying it will ""come at a cost"".",2025-07-06,https://www.bbc.com/news/articles/cq8z34x914jo,BBC,United Kingdom,Politics
2,"Football clubs should pay towards £70m policing cost, Met chief says",It comes as Sir Marks calls for the creation of 12 to 15 bigger police forces as part of radical reforms.,2025-07-06,https://www.bbc.com/news/articles/cqx2338z971o,BBC,United Kingdom,Sports
3,"Labour might be down, but it's not necessarily out - voters reflect on a year in power","What’s gone wrong for Labour? 2024 voters delve into it, writes Laura Kuenssberg.",2025-07-05,https://www.bbc.com/news/articles/cvg8vjm4ee1o,BBC,United Kingdom,Politics
4,How MI5 piled falsehood on falsehood in the case of neo-Nazi spy who abused women,"Security Service continued to provide misleading evidence even after its lie was exposed, BBC can reveal.",2025-07-06,https://www.bbc.com/news/articles/c3w4nwdwywno,BBC,United Kingdom,Conflict
5,I looked into the eyes of a man who blew himself up on the Tube. I still see him everywhere,"Dan Biddle recalls a bright, white flash as a bomb was detonated just metres away from him on a London Underground train.",2025-07-06,https://www.bbc.com/news/articles/cedgvg3elx2o,BBC,United Kingdom,Health
6,Ozzy Osbourne goes out on a high at farewell gig,"More than 40,000 fans and an all-star line-up of rock legends pay homage at the ""heavy metal Live Aid"".",2025-07-05,https://www.bbc.com/news/articles/ckg565mk8jxo,BBC,United Kingdom,Entertainment
7,Man arrested after death of woman found injured on street,"Police Scotland say officers were called to South Road, Dundee, but the woman was pronounced dead at the scene.",2025-07-06,https://www.bbc.com/news/articles/czdvrgjg0qeo,BBC,United Kingdom,General
8,David Lammy first UK minister to visit Syria since 2011 uprising,David Lammy said he promoted transparency and accountability in a meeting with Syria's interim president Al-Sharaa.,2025-07-05,https://www.bbc.com/news/articles/c0rvpz1kjkpo,BBC,United Kingdom,Conflict
9,Man charged with attempted kidnap at park splash pad,"Moynul Janu, 34, has been remanded in custody after the incident on the Thursday.",2025-07-06,https://www.bbc.com/news/articles/ce3nke57z01o,BBC,United Kingdom,General
10,Man charged with murder after death of 85-year-old,Police said the man had a number of injuries and was declared dead at the property.,2025-07-06,https://www.bbc.com/news/articles/cwye5xxd90qo,BBC,United Kingdom,General
11,Boy killed on railway line was 'bright and kind',"Police say Joshua Myers and another boy, 16, were found on the tracks at the station near Stockport.",2025-07-06,https://www.bbc.com/news/articles/c1mz3731g77o,BBC,United Kingdom,General
12,Four-year-old boy killed by falling gravestone,"Paramedics tried to save the boy after he was hurt in Haslingden, Lancashire.",2025-07-06,https://www.bbc.com/news/articles/cr5veeyvpelo,BBC,United Kingdom,General
13,Family hubs to open in every council in England,Government says £500m plan aims to support an extra half a million more children.,2025-07-06,https://www.bbc.com/news/articles/cpvj1jr0kz0o,BBC,United Kingdom,Politics
14,Watch: Ozzy Osbourne belt out Iron Man one last time during final Black Sabbath show,Fans sing Iron Man with Ozzy Osbourne during what Black Sabbath says was its last gig.,2025-07-06,https://www.bbc.com/news/videos/cgjgdz94389o,BBC,United Kingdom,Entertainment
15,'Outpouring of grief' as Liverpool fans pay tribute to Jota,Grieving football fans tell the BBC what the Liverpool player meant to them.,2025-07-04,https://www.bbc.com/news/videos/cm2mddxxrjpo,BBC,United Kingdom,Sports
16,Watch: Ozzy Osbourne sings Iron Man at Black Sabbath's final gig,Fans sing Iron Man with Ozzy Osbourne during what Black Sabbath says was its last gig.,2025-07-06,https://www.bbc.com/news/videos/cgjgdz94389o,BBC,United Kingdom,General
17,'Biblical' - fans react to Oasis reunion tour debut,Oasis hit the stage together for the first time in 16 years in Cardiff and the energy was electric.,2025-07-05,https://www.bbc.com/news/videos/cd0v7yjel1go,BBC,United Kingdom,General
18,Watch: Moment Oasis take to the stage for first gig in 16 years,"The Gallagher brothers play their first concert since reuniting, in front of a packed Cardiff stadium.",2025-07-04,https://www.bbc.com/news/videos/c8j1mkzr209o,BBC,United Kingdom,Entertainment
19,Watch: PM talks about his 'good personal relationship' with Trump,Watch: PM talks about his 'good personal relationship' with Trump,2025-07-04,https://www.bbc.com/news/videos/cr4we4gl576o,BBC,United Kingdom,General
20,Not getting a summer job? Here are eight ways to change that,"Grace Pickett, 18, says it's ""frustrating"" so many part-time jobs require previous experience.",2025-07-05,https://www.bbc.com/news/articles/crl0j9jkez1o,BBC,United Kingdom,General
21,Why I kick down Peak District stone stacks,Stuart Cox says he wants to raise awareness of the damage the stacks can do to the environment.,2025-07-05,https://www.bbc.com/news/articles/cd6g55w5l5zo,BBC,United Kingdom,Environment
22,The best photos from Black Sabbath's farewell,The heavy metal pioneers perform their final gig on Saturday with an all-star line-up.,2025-07-06,https://www.bbc.com/news/articles/c5y7l90rdexo,BBC,United Kingdom,General
23,Excellent or awful - why Lifetime ISAs divide opinion,A report by MPs says the product needs to be reformed and many savers who have been in touch tend to agree.,2025-07-05,https://www.bbc.com/news/articles/cy0w8x2zxzko,BBC,United Kingdom,Conflict
24,Oasis kick off their comeback: The best they've been since the 90s,"The band stage a triumphant show in Cardiff, as they launch their long-awaited reunion tour.",2025-07-04,https://www.bbc.com/news/articles/cn9y5z5nqe1o,BBC,United Kingdom,Entertainment
25,Ketamine helped me escape my negative thoughts - then it nearly killed me,"Young people are taking dangerous amounts of ket because it's cheap, easily available and helps them ""disconnect"", experts say.",2025-07-04,https://www.bbc.com/news/articles/c70r1xdyy59o,BBC,United Kingdom,General
26,"Exit painful amid church crisis, says ex-archbishop",Andrew John says retiring is the right thing to do but the process has affected his mental health.,2025-07-06,https://www.bbc.com/news/articles/c78n1d0pj0xo,BBC,United Kingdom,Health
27,'GPs will stop some services if funding deal not met',Dr O'Hagan listed the services GPs will stop if they move to work strictly by their contracts.,2025-07-06,https://www.bbc.com/news/articles/cjrl0q3geqyo,BBC,United Kingdom,General
28,"Search for missing continues as Texas floods kill 51, including 15 children","Hundreds of rescuers search for people missing after flash floods killed 51 people, including 15 children.",2025-07-06,https://www.bbc.com/news/articles/cr4w36lnvgyo,BBC,United States,General
29,Texas flood victims: Girl 'living her best life' and 'heart and soul' of camp,"Eight-year-old Renee Smajstrla and ""strong and powerful"" camp director Jane Ragsdale were swept away.",2025-07-06,https://www.bbc.com/news/articles/c5ygl8lpyyqo,BBC,United States,Entertainment
30,Elon Musk says he is launching new political party,The world's richest man says he is setting up a new political organisation called the America Party.,2025-07-06,https://www.bbc.com/news/articles/c1dn04lvgpdo,BBC,United States,Politics
31,"Israel sends negotiators to Gaza talks despite 'unacceptable' Hamas demands, PM says",Benjamin Netanyahu says Hamas is seeking changes to a proposal for a ceasefire deal that Israel has accepted.,2025-07-06,https://www.bbc.com/news/articles/c4g8p24zm3vo,BBC,Israel,Conflict
32,Iran supreme leader in first public appearance since Israel war,State TV showed footage of Ayatollah Ali Khamenei being cheered at a mosque ahead of a Shia festival.,2025-07-05,https://www.bbc.com/news/articles/c3d1n8z8nzro,BBC,Iran,Conflict
33,Uganda's 80-year-old president in bid to extend 40-year rule,Yoweri Museveni has been endorsed by the ruling party as its candidate in the 2026 election.,2025-07-06,https://www.bbc.com/news/articles/cm2ml8lzzrno,BBC,Uganda,Politics
