id,title,description,date,url,source,country,category
1,《受到召唤·敦煌》兰州演出圆满成功：文艺与文物相互“凝视”,中新网兰州7月12日电  由中国国家话剧院院长田沁鑫担任编剧、导演的音乐话剧《受到召唤·敦煌》日前完成在兰州的演出。,2025-07-12,http://www.chinanews.com/cul/2025/07-12/10446984.shtml,China News Service,China,Culture
2,“为人民而歌——纪念王昆老师诞辰100周年座谈会”在京举行,中新网北京7月12日电 (记者 应妮)中国东方演艺集团日前在京举行“为人民而歌——纪念王昆老师诞辰100周年座谈会”，深切缅怀这位深受人民群众喜爱的艺术家、原东方歌舞团团长，回顾她辉煌的艺术生涯和卓越的艺术成就，学习她的高尚品德和精神风范。,2025-07-12,http://www.chinanews.com/cul/2025/07-12/10446983.shtml,China News Service,China,Culture
3,中国医学装备国际合作大会在沪举办 中外专家共议医疗装备创新,中新网上海7月12日电 (记者 郭超凯)7月11日至12日，2025中国医学装备国际合作大会在上海召开。此次大会以“医装联动全球 合作共创未来”为主题，来自亚欧非17个国家和地区的医疗卫生部门负责人、专家、企业代表，以及相关国家驻华使节受邀参会。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446982.shtml,China News Service,China,Business
4,台青走进阳明故居 感受“知行合一”,中新社宁波7月12日电 (张斌 章是一)“我常常有‘拖延症’，这一次来到王阳明生活过的地方，才明白了‘知行合一’的意思，那就是想到了就要去做，做了就要踏踏实实做好。”12日，台青吴同学在浙江宁波余姚参访阳明故居后说。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446981.shtml,China News Service,China,General
5,收藏学术青春 “学子众阅馆（北京）”启用,中新网北京7月12日电  　随着学子代表们将自己的学位论文、毕业设计依次入藏，“学子众阅馆(北京)”12日在北京市丰台区政务服务中心内的丰台区图书馆四层启用。这座以“收藏学术青春，矢志报国伟业”为理念的知识殿堂，不仅是丰台为青年人才打造的学术交流“打卡地”，更是一份深情邀约——诚邀广大学子“回家”，书写青春记忆，留住学术芳华，成为丰台发展的“参与者”与“合伙人”。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446980.shtml,China News Service,China,Politics
6,横跨3000公里异地作业 翼龙无人机紧急驰援西藏吉隆口岸,中新网北京7月12日电 (记者 阮煜琳)记者12日从中国航空工业集团获悉，7月8日，中国和尼泊尔边境的吉隆口岸一带发生自然灾害，已致部分人员失联，当地通信、交通等基础设施部分受损。接到西藏自治区应急管理厅应急出动命令后，中航无人机现场团队迅速响应，于8日、9日及10日，连续三日调派西藏翼龙应急型无人机飞赴灾区，执行紧急灾情侦察和通信保障任务，全力保障失踪人员搜救和灾区抢险救援。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446979.shtml,China News Service,China,Technology
7,（侨乡新貌）广东信宜“全竹宴”让游客食过“返寻味”,中新社广东茂名7月12日电 (梁盛 高干)记者11日在信宜市平塘镇马安村马安竹海景区看到，四周是一望无尽的万亩竹林。在一间名为“竹海小院”的小餐馆里，主人张文正热情地向游客推介马安村的特色菜肴，以及竹笋干等土特产。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446974.shtml,China News Service,China,General
8,广西“职教出海”助企业布局东盟用人不愁,中新社南宁7月12日电 题：广西“职教出海”助企业布局东盟用人不愁,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446973.shtml,China News Service,China,Education
9,长春汽博会：新老红旗车同台“讲述”中国汽车工业发展,中新网长春7月12日电 (李彦国  高龙安)搭载智驾系统的新车型造型前卫，人们排队上车体验；从高级礼宾车到敞篷检阅车，多款红旗品牌历史车型集中亮相；经典车型组成的车队驶过城市的大街小巷，仿佛穿越了时空……,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446965.shtml,China News Service,China,Business
10,香港特区国家安全展览厅迎来第100万名参观者,中新社香港7月12日电 香港特区国家安全展览厅自2024年8月7日向公众免费开放参观以来，深受市民欢迎，于今年7月12日迎来第100万名参观者。,2025-07-12,http://www.chinanews.com/dwq/2025/07-12/10446966.shtml,China News Service,China,General
11,东亚杯国足0:2日本，上次赢对手还是1998年,中新网北京7月12日电(记者 刘星晨)北京时间7月12日晚，2025年东亚足联E-1足球锦标赛(东亚杯)继续进行。经过较量，国足0:2不敌日本队，遭遇赛事两连败。,2025-07-12,http://www.chinanews.com/ty/2025/07-12/10446972.shtml,China News Service,China,Sports
12,北京西城召开教育大会 “三个赋能”计划推动教育高质量发展,中新网北京7月12日电7月  12日，北京市西城区召开教育大会，会上正式发布聚焦干部、教师、学生三大教育主体的《西城区教育系统领导班子和干部队伍发展提升计划》《西城区新时代教师高质量发展支持计划》和《西城区中小学生创新能力培育提升计划》，“三个赋能”计划共同形成了推动教育事业高质量发展的系统解决方案。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446962.shtml,China News Service,China,Education
13,机器人“跨界”登台 2025长三角阿卡贝拉音乐大赛在沪落幕,中新网上海7月12日电 (记者 郑莹莹)“汇聚我们的声音”2025长三角阿卡贝拉音乐大赛颁奖典礼暨冠军之夜·声越家音乐会12日晚在上海西岸大剧院举行。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446964.shtml,China News Service,China,Technology
14,中华职业教育创新创业大赛具身智能赛落幕 138支队伍展前沿成果,中新网杭州7月12日电 (钱晨菲 吴怡欣)7月12日，第八届中华职业教育创新创业大赛具身智能赛全国决赛颁奖仪式在浙江杭州举办，共有全国96所院校138支队伍入围决赛。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446963.shtml,China News Service,China,Education
15,万里茶路中国行采风活动湖南安化启动 助力茶产业发展,中新网益阳7月12日电 (付敬懿)“片叶度关山——万里茶路中国行2025”大型人文采风活动12日启动，万里茶路沿线城市及媒体、景区、企业、自媒体达人等代表将从湖南安化出发，沿中蒙俄万里茶道国内段，经湖北、河南、山西、河北，终到内蒙古自治区锡林郭勒盟西乌珠穆沁旗，展示沿线地区历史底蕴和自然风景，创新茶知识普及茶文化涵养，助力茶产业发展。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446959.shtml,China News Service,China,Culture
16,经纬线·发展海洋经济大有可为、大有前途,近日，习近平总书记主持召开中央财经委员会第六次会议强调，推进中国式现代化必须推动海洋经济高质量发展，走出一条具有中国特色的向海图强之路。发展海洋经济是一项功在当代、利在千秋的大事业，从向海求生到耕海牧渔，浪花朵朵跃动着高质量发展的脉搏。,2025-07-12,http://www.chinanews.com/gn/2025/07-12/10446978.shtml,China News Service,China,Business
17,“抱抱之家：爱与被爱之旅” 科技情感教育展在北京开幕,中新网北京7月12日电 (黄欣欣)12日，由中国宋庆龄青少年科技文化交流中心主办，北京歌华文化中心有限公司联合主办，以“家庭情感教育”为核心的沉浸式科技情感教育展——“抱抱之家：爱与被爱之旅”在北京中华世纪坛艺术馆开幕。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446961.shtml,China News Service,China,Technology
18,山东博物馆“双展”同启 以数智技术重构展陈叙事,中新网济南7月12日电(记者 赵晓)暑期来临，文博游“大热”。山东博物馆7月12日同步开启“数智文化展厅”“福尔摩斯沉浸式主题展”，整合前沿数字技术，塑造沉浸式叙事环境，为公众提供别具一格的文化新体验。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446960.shtml,China News Service,China,Culture
19,2025前沿科学创新大会发布“人类面临的前100大挑战”全球问题征集,中新网长沙7月12日电 (记者 刘双双)2025前沿科学创新大会12日在湖南长沙举办，开幕式上主办方特别发布“人类面临的前100大挑战”全球问题征集邀请，联合所有学科领域的科学家，从多学科视角洞察可持续发展亟需解决的关键问题，呼吁科学界、工业界、产业界和每一位世界公民，共同关注人类命运共同体。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446956.shtml,China News Service,China,Science
20,【讲习所·中国与世界】习近平：多样文明是世界的本色,【本期导读】,2025-07-12,http://www.chinanews.com/gn/2025/07-12/10446977.shtml,China News Service,China,Science
21,跨越千里 新疆学子赴浙江台州“赶海”,中新网台州7月12日电(傅飞扬 葛星星)7月7日至7月12日，2025年“大漠孩子看大海”和合石榴籽融情行动在浙江省台州市举行，20名学生从新疆生产建设兵团第一师阿拉尔市出发，跨越千里，来到当地开展研学交流活动。,2025-07-12,http://www.chinanews.com/sh/2025/07-12/10446958.shtml,China News Service,China,Science
